;Slug;Nom;Nom simple;Population en 2012;Longitude GRD;Latitude GRD;Longitude DMS;Latitude DMS
1;paris;PARIS;paris;2125851;9;54289;22040;485136
2;marseille;MARSEILLE;marseille;797491;3377;48107;52235;431748
3;lyon;LYON;lyon;445274;2783;50843;45029;454532
4;toulouse;TOULOUSE;toulouse;390301;-994;48449;12631;433616
5;nice;NICE;nice;343123;5480;48558;71606;434207
6;nantes;NANTES;nantes;270343;-4323;52464;-13314;471302
7;strasbourg;STRASBOURG;strasbourg;263941;6013;53982;74453;483501
8;montpellier;MONTPELLIER;montpellier;225511;1711;48457;35236;433640
9;bordeaux;BORDEAUX;bordeaux;215374;-3240;49820;-3446;445016
10;rennes;RENNES;rennes;206194;-4463;53460;-14051;480651
11;havre;LE HAVRE;le havre;190924;-2461;54999;716;492956
12;reims;REIMS;reims;187181;1880;54739;40143;491555
13;lille;LILLE;lille;184647;801;56258;30327;503755
14;saint-etienne;SAINT-ETIENNE;saint etienne;180438;2281;50482;42323;452602
15;toulon;TOULON;toulon;160712;3993;47917;55550;430730
16;grenoble;GRENOBLE;grenoble;153426;3766;50208;54335;451113
17;angers;ANGERS;angers;151322;-3213;52748;-3320;472822
18;dijon;DIJON;dijon;150138;3006;52581;50231;471923
19;brest;BREST;brest;149649;-7581;53767;-42913;482324
20;le-mans;LE MANS;le mans;146064;-2377;53338;1149;480015
21;clermont-ferrand;CLERMONT-FERRAND;clermont ferrand;137154;834;50866;30513;454647
22;amiens;AMIENS;amiens;135449;-43;55436;21752;495331
23;aix-en-provence;AIX-EN-PROVENCE;aix en provence;134324;3454;48364;52644;433140
24;limoges;LIMOGES;limoges;133924;-1194;50927;11542;455004
25;nîmes;NIMES;nimes;133406;2248;48708;42136;435013
26;tours;TOURS;tours;132677;-1831;52659;4118;472334
27;villeurbanne;VILLEURBANNE;villeurbanne;124152;2825;50851;45246;454558
28;metz;METZ;metz;123704;4267;54578;61037;490711
29;besancon;BESANCON;besancon;117691;4094;52491;60117;471432
30;caen;CAEN;caen;114007;-3008;54647;-2214;491056
31;orleans;ORLEANS;orleans;113089;-481;53225;15415;475408
32;mulhouse;MULHOUSE;mulhouse;110141;5558;53054;72021;474455
33;rouen;ROUEN;rouen;106560;-1371;54937;10609;492635
34;boulogne-billancourt;BOULOGNE-BILLANCOURT;boulogne billancourt;106316;-106;54262;21429;485007
35;perpignan;PERPIGNAN;perpignan;105096;620;47442;25341;424151
36;nancy;NANCY;nancy;103552;4274;54103;61101;484134
37;roubaix;ROUBAIX;roubaix;96959;938;56321;31051;504121
38;argenteuil;ARGENTEUIL;argenteuil;93932;-99;54387;21451;485652
39;tourcoing;TOURCOING;tourcoing;93531;915;56358;30937;504321
40;montreuil-93;MONTREUIL;montreuil;90735;118;54289;22635;485137
41;saint-denis-93;SAINT-DENIS;saint denis;85994;19;54373;22114;485608
42;avignon;AVIGNON;avignon;85937;2746;48832;44830;435655
43;versailles;VERSAILLES;versailles;85761;-225;54227;20803;484817
44;nanterre;NANTERRE;nanterre;84270;-148;54323;21213;485326
45;poitiers;POITIERS;poitiers;83507;-2224;51757;2007;463452
46;creteil;CRETEIL;creteil;81786;139;54212;22743;484726
47;aulnay-sous-bois;AULNAY-SOUS-BOIS;aulnay sous bois;80030;174;54374;22935;485611
48;vitry-sur-seine;VITRY-SUR-SEINE;vitry sur seine;78908;63;54209;22334;484715
49;pau;PAU;pau;78800;-3007;48112;-2212;431803
50;calais;CALAIS;calais;77317;-534;56608;15120;505651
51;rochelle-17;LA ROCHELLE;la rochelle;76711;-3875;51288;-10905;460934
52;colombes;COLOMBES;colombes;76690;-94;54360;21508;485525
53;asnieres-sur-seine;ASNIERES-SUR-SEINE;asnieres sur seine;75832;-57;54346;21708;485440
54;champigny-sur-marne;CHAMPIGNY-SUR-MARNE;champigny sur marne;74232;199;54241;23056;484902
55;rueil-malmaison;RUEIL-MALMAISON;rueil malmaison;73599;-165;54309;21118;485240
56;saint-maur-des-fosses;SAINT-MAUR-DES-FOSSES;saint maur des fosses;73071;180;54221;22956;484755
57;antibes;ANTIBES;antibes;72454;5318;48422;70723;433448
58;bourges;BOURGES;bourges;72434;66;52315;22344;470501
59;dunkerque;DUNKERQUE;dunkerque;70834;44;56709;22235;510216
60;courbevoie;COURBEVOIE;courbevoie;69665;-94;54330;21508;485350
61;beziers;BEZIERS;beziers;69359;977;48159;31258;432036
62;cannes;CANNES;cannes;67406;5205;48392;70117;433309
63;saint-nazaire-44;SAINT-NAZAIRE;saint nazaire;65868;-5051;52533;-21236;471646
64;colmar;COLMAR;colmar;65118;5576;53424;72118;480452
65;villeneuve-d-ascq;VILLENEUVE-D'ASCQ;villeneuve d ascq;64997;897;56248;30839;503722
66;valence-26;VALENCE;valence;64222;2838;49925;45327;445557
67;quimper;QUIMPER;quimper;63274;-7149;53329;-40552;475945
68;aubervilliers;AUBERVILLIERS;aubervilliers;63130;51;54346;22257;485440
